⺀	(⺀,Cd,,部首補充)
𮑾	(艹束束,QlGuGu,,扩F)
𮑿	(艹丨虫,QlRcHzHk,,扩F)
𮒀	(艹古戊,QlObQbAk,,扩F)
𮒁	(艹扌匚口吅,QlVlXmYo,,扩F)
𮒂	(艹十从夊生,QlEoLcNc,,扩F)
𮒃	(艹厂林止,QlLsGlHl,,扩F)
𮒄	(艹束,QlHbGu,,扩F)
𮒅	(甲艹廿⺃木,DaQlXjYq,,扩F)
𮒆	(艹丨冖正攵,QlOdGpVj,,扩F)
𮒇	(草侖,NbGb,,扩F)
𮒈	(艹囗𠂭儿夊,QlXtZcSp,,扩F)
𮒉	(艹儿儿,QlNaWrDi,,扩F)
𮒊	(艹亻隹辶,QlIuWfDf,,扩F)
𮒋	(艹禾自寸,QlTuCvOf,,扩F)
𮒌	(艹氵厶厶厶彡,QlMeFiCd,,扩F)
𮒍	(艹立曷,QlJkBl,,扩F)
𮒎	(艹氵山𡈼攵,QlMeBnVj,,扩F)
𮒏	(各乍,BhXcUo,,扩F)
𮒐	(艹氵不見,QlMeKeIu,,扩F)
𮒑	(艹豕,QlCiBy,,扩F)
𮒒	(艹氵鳥,QlMeDw,,扩F)
𮒓	(艹⺬咼,QlThUv,,扩F)
𮒔	(艹糹冂䒑山,QlCpOdBn,,扩F)
𮒕	(艹糹妾,QlCpXp,,扩F)
𮒖	(艹糹龷日,QlCpXjWr,,扩F)
𮒗	(艹禾隹又,QlTuWfZn,,扩F)
𮒘	(艹戸攵言,QlJuVjOk,,扩F)
𮒙	(艹从一囗口,QlYqLcPr,,扩F)
𮒚	(艹夫从丿糸,QlXmLcCp,,扩F)
𮒛	(艹土丸云,QlCkAsYv,,扩F)
𮒜	(艹車侖,QlBmGb,,扩F)
𮒝	(艹扌隹灬,QlVlWfXl,,扩F)
𮒞	(艹木酉灬,QlYqFdXl,,扩F)
𮒟	(艹夫夫貝,QlXmXmMl,,扩F)
𮒠	(草艹可,NbQlUr,,扩F)
𮒡	(艹田一田灬,QlTyFkXl,,扩F)
𮒢	(艹女爪,QlKlOuCh,,扩F)
𮒣	(艹隹󰈯口,QlWfIePr,,扩F)
𮒤	(艹禾尸辛,QlTuZkVc,,扩F)
𮒥	(艹㡀攵大,QlFnVjNf,,扩F)
𮒦	(艹心心心二⺃,QlViViHu,,扩F)
𮒧	(艹阝米舛,QlErZcOo,,扩F)
𮒨	(艹糸󲨣,QlCpHr,,扩F)
𮒩	(艹麥生,QlOoNc,,扩F)
𮒪	(艹豆丿田丿十,QlXnLbEo,,扩F)
𮒫	(艹土八土乛火,QlCkAyXl,,扩F)
𮒬	(艹木矛󰈯口,QlYqHcPr,,扩F)
𮒭	(艹罒忄隹,QlDdGiWf,,扩F)
𮒮	(艹口⺃彐冫貝,QlPrHuMl,,扩F)
𮒯	(艹亻而,QlIuErUi,,扩F)
𮒰	(艹豸艮土,QlByIxCk,,扩F)
𮒱	(艹豸耂日丶,QlByRhMs,,扩F)
𮒲	(艹言旦丿,QlOkUwLb,,扩F)
𮒳	(艹方釆田,QlLjRuTy,,扩F)
𮒴	(艹糸甫寸,QlCpAhOf,,扩F)
𮒵	(艹阝辛衣,QlErVcHi,,扩F)
𮒶	(艹辟子,QlWuLg,,扩F)
𮒷	(艹阝辛米,QlErVcZc,,扩F)
𮒸	(艹土丸衣,QlCkAsHi,,扩F)
𮒹	(⻀言言,QlVlOkOk,,扩F)
𮒺	(艹革大可,QlUeNfUr,,扩F)
𮒻	(艹麥至,QlOoRn,,扩F)
𮒼	(艹門者,QlYzVn,,扩F)
𮒽	(艹罒冖忄五口,QlDdOdPr,,扩F)
𮒾	(艹丨八手,QlBqBiCj,,扩F)
𮒿	(艹魚,QlMeKf,,扩F)
𮓀	(艹禾几鬼,QlTuKxJd,,扩F)
𮓁	(艹糹寸,QlCpBmOf,,扩F)
𮓂	(艹辟手,QlWuCj,,扩F)
𮓃	(艹阝产生女,QlErWdOu,,扩F)
𮓄	(艹古㐫禸,QlObGoTk,,扩F)
𮓅	(艹罒戊丶丆罒,QlDdQbDd,,扩F)
𮓆	(草丷日,NbHdRhWr,,扩F)
𮓇	(艹爫木友,QlChYqAm,,扩F)
𮓈	(艹釒隹又,QlLuWfZn,,扩F)
𮓉	(芒灬,ZjPvBkXl,,扩F)
𮓊	(艹火土土,QlXlCkXl,,扩F)
𮓋	(艹歹辛,QlVcNrVc,,扩F)
𮓌	(艹阝产生木,QlErWdYq,,扩F)
𮓍	(艹尸木女,QlZkYqOu,,扩F)
𮓎	(艹廿⺃木日,QlXjHuWr,,扩F)
𮓏	(艹罒冖忄日生,QlDdOdNc,,扩F)
𮓐	(艹黑口,QlGpRsPr,,扩F)
𮓑	(艹爫龴冂厶又辛,QlChZnVc,,扩F)
𮓒	(艹辟米,QlWuZc,,扩F)
𮓓	(艹巾爻爻丿友丶,QlRcSuMs,,扩F)
𮓔	(艹臣罒見,QlDnKhIu,,扩F)
𮓕	(艹巾爻爻甫,QlRcSuAh,,扩F)
𮓖	(艹魚虍且,QlKfPtAw,,扩F)
𮓗	(𮓗,Pt,,扩F)
𮓘	(丅匕,ZrZkYs,,扩F)
𮓙	(丅几,ZrZkKx,,扩F)
𮓚	(尸十又,PgZkEoZn,,扩F)
𮓛	(虍土,PtCk,,扩F)
𮓜	(丅巾,ZrZkSu,,扩F)
𮓝	(虍龰,PtHl,,扩F)
𮓞	(一丨,FkZkHzGp,,扩F)
𮓟	(王几几,KsZsKxKx,,扩F)
𮓠	(工,IvZkJp,,扩F)
𮓡	(丅业,ZrZkEj,,扩F)
𮓢	(八,PgZsAyHz,,扩F)
𮓣	(虍爫一⺃,PtChFkHu,,扩F)
𮓤	(虎牛,PtRs,,扩F)
𮓥	(丅口天,ZrZkPrAk,,扩F)
𮓦	(乊虎,ChEoPt,,扩F)
𮓧	(虎谷,PtLa,,扩F)
𮓨	(虎口旡,PtPrRh,,扩F)
𮓩	(王䒑⺃,KsZsOuHu,,扩F)
𮓪	(虍予,PtOuAn,,扩F)
𮓫	(早虎,HlQfPt,,扩F)
𮓬	(虍豆八丂,PtXnAyBi,,扩F)
𮓭	(日小虍冂,IgWrIgOd,,扩F)
𮓮	(虎少日小,PtVmWrIg,,扩F)
𮓯	(虎米舛,PtZcOo,,扩F)
𮓰	(丶,HkMs,,扩F)
𮓱	(丿,LbHk,,扩F)
𮓲	(虫乛⺃,HkBmHu,,扩F)
𮓳	(虫门,HkZi,,扩F)
𮓴	(虫尸,HkZk,,扩F)
𮓵	(刀丶虫,JzMsHk,,扩F)
𮓶	(虫弓,HkDz,,扩F)
𮓷	(虫巳,HkEw,,扩F)
𮓸	(元虫,RlHk,,扩F)
𮓹	(虫区,HkHa,,扩F)
𮓺	(虫厂丂,HkLsBi,,扩F)
𮓻	(虫冖儿,HkOdDi,,扩F)
𮓼	(虫,HkWj,,扩F)
𮓽	(虫廿⺃,HkXjHu,,扩F)
𮓾	(工力虫,IvSoHk,,扩F)
𮓿	(虫田,HkTy,,扩F)
𮔀	(心丿虫,ViLbHk,,扩F)
𮔁	(虫耂丂,HkRhBi,,扩F)
𮔂	(虫艹,HkQlJf,,扩F)
𮔃	(丿虫冖儿丶,LbHkOdMs,,扩F)
𮔄	(虫亻木,HkIuYq,,扩F)
𮔅	(虫贝,HkNaQh,,扩F)
𮔆	(虫血,HkCu,,扩F)
𮔇	(夂丶虫,SpMsCdHk,,扩F)
𮔈	(虫人丿凵⺃,HkSkLbHu,,扩F)
𮔉	(宀又丷虫,DxZnHdHk,,扩F)
𮔊	(虫两,HkJc,,扩F)
𮔋	(虫扌片,HkVlHw,,扩F)
𮔌	(虫山巴,HkBnSl,,扩F)
𮔍	(虫上日,HkUxWr,,扩F)
𮔎	(虫冖且,HkOdAw,,扩F)
𮔏	(丿虫亻木,LbHkIuYq,,扩F)
𮔐	(虫兵,HkCo,,扩F)
𮔑	(虫舌⺃,HkJiHu,,扩F)
𮔒	(丿虫土,LbHkArCk,,扩F)
𮔓	(氵殳虫,MeFnHk,,扩F)
𮔔	(虫刀口儿,HkJzPrDi,,扩F)
𮔕	(卩虫,IxJfHk,,扩F)
𮔖	(虫厶八夂,HkFiAySp,,扩F)
𮔗	(虫刂,HkDnIgRj,,扩F)
𮔘	(虫龶,HkBpHi,,扩F)
𮔙	(虫,HkQlHz,,扩F)
𮔚	(虫力,HkBmSo,,扩F)
𮔛	(虫兔,HkEg,,扩F)
𮔜	(虫辶,HkHiDf,,扩F)
𮔝	(虫立,HkJkVl,,扩F)
𮔞	(歹小虫,NrNaIgHk,,扩F)
𮔟	(虫巨木,HkOcYq,,扩F)
𮔠	(虫厂里,HkLsGh,,扩F)
𮔡	(虫太皿,HkAlYz,,扩F)
𮔢	(虫田比,HkTyLq,,扩F)
𮔣	(虫食,HkNn,,扩F)
𮔤	(虫刍心,HkJvVi,,扩F)
𮔥	(虫亠日小,HkWwWrIg,,扩F)
𮔦	(虫又,HkFiZn,,扩F)
𮔧	(民攵虫,IcVjHk,,扩F)
𮔨	(虫豆寸,HkXnOf,,扩F)
𮔩	(虫至攵,HkRnVj,,扩F)
𮔪	(虫匕目⺃八,HkYsFmAy,,扩F)
𮔫	(虫日光,HkWrYf,,扩F)
𮔬	(虫丬爫寸,HkHwChOf,,扩F)
𮔭	(丿虫水田,LbHkBkTy,,扩F)
𮔮	(虫㐫月,HkMzJs,,扩F)
𮔯	(冖口虫,CiOdPrHk,,扩F)
𮔰	(亠丷丨刀丶虫,WwHdGpHk,,扩F)
𮔱	(虫尸肖,HkZkUg,,扩F)
𮔲	(虫阝,HkErGoTu,,扩F)
𮔳	(束攵虫,GuVjHk,,扩F)
𮔴	(虫艹甫,HkQlAh,,扩F)
𮔵	(虫口吅一⺃,HkPrYoHu,,扩F)
𮔶	(虫囗,HkPgXtZc,,扩F)
𮔷	(虫丰丰彐,HkBpBpQj,,扩F)
𮔸	(丿虫走己,LbHkUsEn,,扩F)
𮔹	(虫彳旦寸,HkToUwOf,,扩F)
𮔺	(丿虫隹又,LbHkWfZn,,扩F)
𮔻	(虫云,HkErYv,,扩F)
𮔼	(木了口又一虫,YqLdPrHk,,扩F)
𮔽	(丿虫阝,LbHkErIg,,扩F)
𮔾	(虫宀丆皿丁,HkDxZrNa,,扩F)
𮔿	(虫丷日,HkHdRhWr,,扩F)
𮕀	(京尢丶虫,NlSeMsHk,,扩F)
𮕁	(子攵虫,CiLgVjHk,,扩F)
𮕂	(虫田辶,HkAkTyDf,,扩F)
𮕃	(虫止戊一,HkHlQbHl,,扩F)
𮕄	(丿虫䒑业心,LbHkRcVi,,扩F)
𮕅	(丿虫尸娄,LbHkZkZp,,扩F)
𮕆	(虫丷豕辶,HkHdByDf,,扩F)
𮕇	(虫尸气米,HkZkDmZc,,扩F)
𮕈	(虫丆目冖又,HkZrFmZn,,扩F)
𮕉	(耳又虫虫,UaZnHkHk,,扩F)
𮕊	(口虫疋虫,PrHkIfHk,,扩F)
𮕋	(虫罒儿三丶,HkDdDiMs,,扩F)
𮕌	(虫夫夫貝,HkXmXmMl,,扩F)
𮕍	(虫女攵,HkKlOuVj,,扩F)
𮕎	(爫虫囗虫,ChHkXtHk,,扩F)
𮕏	(虫彳十罒一心,HkToEoVi,,扩F)
𮕐	(虫隹󰈯口,HkWfIePr,,扩F)
𮕑	(厶厶田虫虫,FiFiTyHk,,扩F)
𮕒	(虫釒戈戈,HkLuGwGw,,扩F)
𮕓	(虫甫寸,HkBhAhOf,,扩F)
𮕔	(占灬虫,RhCkJxHk,,扩F)
𮕕	(丿乛丿虫丿虫丿虫,LbBmLbHk,,扩F)
𮕖	(虫弓巾爻爻,HkDzRcIq,,扩F)
𮕗	(虫亡罒月女乛,HkLmDdEo,,扩F)
𮕘	(虫艹隹󰈯口,HkQlWfPr,,扩F)
𮕙	(虫自穴方辶,HkCvKgDf,,扩F)
𮕚	(虫󰀣彐,HkGlBtQj,,扩F)
𮕛	(石木虫虫,GlRaYqHk,,扩F)
𮕜	(丆皿,ZrYz,,扩F)
𮕝	(血刀,CuJz,,扩F)
𮕞	(歺血,NrCu,,扩F)
𮕟	(血瓜,CuVw,,扩F)
𮕠	(血歹刂,CuNrRj,,扩F)
𮕡	(幺土攴血,CpCkAsCu,,扩F)
𮕢	(行工,EfIv,,扩F)
𮕣	(行今口,EfGdPr,,扩F)
𮕤	(衤⺃,NqHu,,扩F)
𮕥	(衤刂,NqRj,,扩F)
𮕦	(衣,NcHi,,扩F)
𮕧	(衤又,NqZn,,扩F)
𮕨	(衤大,NqNf,,扩F)
𮕩	(亠乛,WwBmCkHi,,扩F)
𮕪	(中衣,OgHi,,扩F)
𮕫	(亠冂二,WwOdHtHi,,扩F)
𮕬	(衤化,NqJr,,扩F)
𮕭	(衤丿廾,NqLbQl,,扩F)
𮕮	(分衣,DjHi,,扩F)
𮕯	(衤厶儿,NqFiDi,,扩F)
𮕰	(衤瓦,NqIj,,扩F)
𮕱	(亠,WwXjHi,,扩F)
𮕲	(衤目,NqFm,,扩F)
𮕳	(衤四,NqDd,,扩F)
𮕴	(衤亻也,NqIuXi,,扩F)
𮕵	(亻口衣,IuPrHi,,扩F)
𮕶	(衤巾,NqNcSu,,扩F)
𮕷	(口衣,NcPrHi,,扩F)
𮕸	(衤民,NqIc,,扩F)
𮕹	(衣,XtHi,,扩F)
𮕺	(衣冂,HiOdAk,,扩F)
𮕻	(亠亻日,WwIuWrHi,,扩F)
𮕼	(衤自,NqCv,,扩F)
𮕽	(衤化十,NqJrEo,,扩F)
𮕾	(衤丄,NqNcOdHa,,扩F)
𮕿	(衤夕口,NqQyPr,,扩F)
𮖀	(衤亥,NqVp,,扩F)
𮖁	(衤两,NqJc,,扩F)
𮖂	(衤天口,NqAkPr,,扩F)
𮖃	(衤土,NqUxCk,,扩F)
𮖄	(邑衣,DvHi,,扩F)
𮖅	(衤口⺃大,NqPrHuNf,,扩F)
𮖆	(衤乂巾,NqQiEoSu,,扩F)
𮖇	(禾刂衣,TuRjHi,,扩F)
𮖈	(釆衣,RuHi,,扩F)
𮖉	(衤从土,NqLcCk,,扩F)
𮖊	(宀牙衣,DxXhHi,,扩F)
𮖋	(六土八,QtCkAyHi,,扩F)
𮖌	(衤门开,NqZiCm,,扩F)
𮖍	(衤阝,NqRoEr,,扩F)
𮖎	(尸水衣,ZkBkHi,,扩F)
𮖏	(衤艹化,NqQlJr,,扩F)
𮖐	(果衣,MvHi,,扩F)
𮖑	(矢口衣,LvPrHi,,扩F)
𮖒	(广人衣,FiQjSkHi,,扩F)
𮖓	(衤巛田,NqPvTy,,扩F)
𮖔	(扌舌衣,VlJiHi,,扩F)
𮖕	(衤木旦,NqYqUw,,扩F)
𮖖	(扌宀寸衣,VlDxOfHi,,扩F)
𮖗	(衤頁,NqLd,,扩F)
𮖘	(衤田比,NqTyLq,,扩F)
𮖙	(衤禾殳,NqTuFn,,扩F)
𮖚	(亠从,WwLcXjHi,,扩F)
𮖛	(食衣,NnHi,,扩F)
𮖜	(衤臼人,NqBqSk,,扩F)
𮖝	(衤禾火,NqTuXl,,扩F)
𮖞	(衤几,NqCiKx,,扩F)
𮖟	(冂口衣,JkOdPrHi,,扩F)
𮖠	(亠厶厶,WwFiFiHi,,扩F)
𮖡	(衤艹囗大,NqQlXtNf,,扩F)
𮖢	(艹丬士衣,QlHwNxHi,,扩F)
𮖣	(衤勹凶,NqKlMzHz,,扩F)
𮖤	(衤隹又,NqWfZn,,扩F)
𮖥	(亠二龴木,WwIuHtHi,,扩F)
𮖦	(衤辶,NqUvDf,,扩F)
𮖧	(衤冖方,NqJkOdLj,,扩F)
𮖨	(衤䒑,NqRcQjXl,,扩F)
𮖩	(衤唐,NqMf,,扩F)
𮖪	(衤莫,NqQk,,扩F)
𮖫	(衤巾,NqSaSu,,扩F)
𮖬	(亠月谷,WwJsLaHi,,扩F)
𮖭	(冂古衣,JkOdObHi,,扩F)
𮖮	(衤羽彡,NqQuGoCd,,扩F)
𮖯	(衤羊䒑口,NqAsRcPr,,扩F)
𮖰	(衤五口口卩,NqIsPrJf,,扩F)
𮖱	(衤士口页,NqNxPrMg,,扩F)
𮖲	(衤而而,NqUiUi,,扩F)
𮖳	(衤厂豆寸,NqLsXnOf,,扩F)
𮖴	(衤土寸,NqKhCkOf,,扩F)
𮖵	(衤彳日夂,NqToNcSp,,扩F)
𮖶	(彡頁衣,CdLdHi,,扩F)
𮖷	(衤业䒑未,NqEjRcEt,,扩F)
𮖸	(衤吅王寸,NqYoKsOf,,扩F)
𮖹	(衤口耳{戈无一},NqPrUaGw,,扩F)
𮖺	(衤艹者,NqQlVn,,扩F)
𮖻	(衤士乛工一口寸,NqNxBmOf,,扩F)
𮖼	(衤目,NqNrLaFm,,扩F)
𮖽	(衤覀大巳辶,NqXgNfDf,,扩F)
𮖾	(衤囗口亠罒二,NqXtPrHt,,扩F)
𮖿	(覀今丶,XgGdMs,,扩F)
𮗀	(覀夂,XgSpCd,,扩F)
𮗁	(覀大一龴,XgNfFkZn,,扩F)
𮗂	(覀甲⺃,XgDaHu,,扩F)
𮗃	(覀夕十丶,XgQyEoMs,,扩F)
𮗄	(覀方攵,XgLjVj,,扩F)
𮗅	(覀女血,XgOuCu,,扩F)
𮗆	(西丿田丿十,XgLbTyEo,,扩F)
𮗇	(覀一丶艮,XgFkIxIx,,扩F)
𮗈	(覀糹隹,XgCpWf,,扩F)
𮗉	(覀女宀女宀女,XgOuDxOu,,扩F)
𮗊	(覀彳敫,XgToRe,,扩F)
𮗋	(襾革音,XgUeHr,,扩F)
𮗌	(覀馬可,XgXtJkUr,,扩F)
𮗍	(牙見,XhIu,,扩F)
𮗎	(古見,ObIu,,扩F)
𮗏	(㓁見,NaIeIu,,扩F)
𮗐	(見,NcGhIu,,扩F)
𮗑	(見艮,IuIx,,扩F)
𮗒	(一巛工見,FkPvIvIu,,扩F)
𮗓	(冖見,RjVlOdIu,,扩F)
𮗔	(口丿囗見,PrLbXtIu,,扩F)
𮗕	(見耳又,IuUaZn,,扩F)
𮗖	(十丷冖見,RjEoHdIu,,扩F)
𮗗	(宀且見,DxAwIu,,扩F)
𮗘	(𮍌二見,UvNcHtIu,,扩F)
𮗙	(見鬼,IuJd,,扩F)
𮗚	(龷隹見,XjWfIu,,扩F)
𮗛	(艹彐丨見,QlQjHzIu,,扩F)
𮗜	(⺽{特殊折}与見,BqWaWeIu,,扩F)
𮗝	(火火火見,XlXlXlIu,,扩F)
𮗞	(亠囗口且見,WwXtPrIu,,扩F)
𮗟	(一用,NcFkUf,,扩F)
𮗠	(丶用,NaMsUf,,扩F)
𮗡	(角夊,TjSp,,扩F)
𮗢	(角彡,TjCd,,扩F)
𮗣	(角勹厶,TjKlFi,,扩F)
𮗤	(角丿廾,TjLbQl,,扩F)
𮗥	(角毛,TjGo,,扩F)
𮗦	(角欠,TjKc,,扩F)
𮗧	(角之,TjNd,,扩F)
𮗨	(角㔾十,TjJfEo,,扩F)
𮗩	(角瓦,TjIj,,扩F)
𮗪	(角大,TjOdNf,,扩F)
𮗫	(弋工角,WlIvTj,,扩F)
𮗬	(角匕日,TjYsWr,,扩F)
𮗭	(角日又,TjWrZn,,扩F)
𮗮	(一用,NcFkUfVl,,扩F)
𮗯	(角,TjLsHi,,扩F)
𮗰	(角五口,TjIsPr,,扩F)
𮗱	(角廾,TjYvQl,,扩F)
𮗲	(角㐬,TjPw,,扩F)
𮗳	(角日勹匕,TjWrKlYs,,扩F)
𮗴	(角艹聿,TjQlJa,,扩F)
𮗵	(火火冖角,XlXlOdTj,,扩F)
𮗶	(角吅冖斗,TjYoOdAd,,扩F)
𮗷	(言卩,OkJf,,扩F)
𮗸	(言几,OkKx,,扩F)
𮗹	(言大,OkNf,,扩F)
𮗺	(夂言,SpOk,,扩F)
𮗻	(言井,OkCy,,扩F)
𮗼	(言木,OkYq,,扩F)
𮗽	(言勹匕,OkKlYs,,扩F)
𮗾	(言十丶,OkEoMs,,扩F)
𮗿	(工刀言,IvJzOk,,扩F)
𮘀	(言末,OkMk,,扩F)
𮘁	(言电,OkZf,,扩F)
𮘂	(言口又,OkPrZn,,扩F)
𮘃	(卯言,TpOk,,扩F)
𮘄	(言用,OkUf,,扩F)
𮘅	(言人干,OkSkYc,,扩F)
𮘆	(弓厶言,DzFiOk,,扩F)
𮘇	(言疋,OkIf,,扩F)
𮘈	(言亠䶹丶,OkWwMrMs,,扩F)
𮘉	(言开刂,OkCmRj,,扩F)
𮘊	(言大与,OkNfWe,,扩F)
𮘋	(言犭巳,OkRoEw,,扩F)
𮘌	(言,OkLsHi,,扩F)
𮘍	(言冂丄,OkNcOdHa,,扩F)
𮘎	(言幺幺,OkCpCp,,扩F)
𮘏	(言去卩,OkGkJf,,扩F)
𮘐	(厂儿言,HlLsDiOk,,扩F)
𮘑	(言且力,OkAwSo,,扩F)
𮘒	(言口木,OkPrYq,,扩F)
𮘓	(言亻白,OkIuDh,,扩F)
𮘔	(言乛辶,OkNcBmDf,,扩F)
𮘕	(言尸毛,OkZkGo,,扩F)
𮘖	(言阝,OkRoEr,,扩F)
𮘗	(言,OkUdVl,,扩F)
𮘘	(言止丶,OkHlHlMs,,扩F)
𮘙	(言冖一旦,OkOdFkUw,,扩F)
𮘚	(言月月,OkJsJs,,扩F)
𮘛	(言宀儿亏,OkDxDiGi,,扩F)
𮘜	(言穴工,OkKgIv,,扩F)
𮘝	(文文言,HfHfOk,,扩F)
𮘞	(言龹力,OkKbSo,,扩F)
𮘟	(言咅,OkIa,,扩F)
𮘠	(火火言,XlXlOk,,扩F)
𮘡	(言艹大,OkQlOdNf,,扩F)
𮘢	(言相,OkXu,,扩F)
𮘣	(言木丶辶,OkYqMsDf,,扩F)
𮘤	(十丷言,RjEoHdOk,,扩F)
𮘥	(言山子,OkBnArLg,,扩F)
𮘦	(言爫丨日,OkChGpWr,,扩F)
𮘧	(亻口木言,IuPrYqOk,,扩F)
𮘨	(言宀各,OkDxXc,,扩F)
𮘩	(言可,OkJkUr,,扩F)
𮘪	(言𫝀口巾,OkGhPrSu,,扩F)
𮘫	(言共,OkLiGi,,扩F)
𮘬	(言罒且,OkDdAw,,扩F)
𮘭	(言虍文,OkPtHf,,扩F)
𮘮	(言白去,OkDhGk,,扩F)
𮘯	(言亠从龶,OkWwLcBp,,扩F)
𮘰	(言土丸,OkCkAsOh,,扩F)
𮘱	(扌隹言,VlWfOk,,扩F)
𮘲	(言口吅丂,OkPrYoBi,,扩F)
𮘳	(貝欠言,MlKcOk,,扩F)
𮘴	(言身攵,OkFaVj,,扩F)
𮘵	(言宀一由八,OkDxFkAy,,扩F)
𮘶	(言广⺺,OkFiJaHz,,扩F)
𮘷	(言产生,OkWdNc,,扩F)
𮘸	(言彐彐小,OkQjQjIg,,扩F)
𮘹	(言䒑󰈡从,OkRcJaLc,,扩F)
𮘺	(言廿一由八,OkXjFkAy,,扩F)
𮘻	(厂亻隹言,LsIuWfOk,,扩F)
𮘼	(言日者,OkWrVn,,扩F)
𮘽	(言火火攴,OkXlXlVj,,扩F)
𮘾	(言十犬,OkEoOdRo,,扩F)
𮘿	(言今丶,OkErGdMs,,扩F)
𮙀	(言心夂,OkXbViSp,,扩F)
𮙁	(言角刀牛,OkTjJzRs,,扩F)
𮙂	(言𠫓廿⺃木,OkYvXjYq,,扩F)
𮙃	(言少馬,OkVmXt,,扩F)
𮙄	(言土心,OkGoTuVi,,扩F)
𮙅	(言虍业戈,OkPtEjGw,,扩F)
𮙆	(言亠共言,OkWwLiOk,,扩F)
𮙇	(言立,OkJkHzDg,,扩F)
𮙈	(言艹糹隹,OkQlCpWf,,扩F)
𮙉	(讠寸化,ScOfJr,,扩F)
𮙊	(讠阝刍心,ScErJvVi,,扩F)
𮙋	(讠⺀大言,ScGlCdOk,,扩F)
𮙌	(谷冖儿,LaOdDi,,扩F)
𮙍	(谷厂㔾,LaNaLsJf,,扩F)
𮙎	(谷宀厶,LaDxEoFi,,扩F)
𮙏	(戊上谷,QbUxLa,,扩F)
𮙐	(宀各谷,DxXcLa,,扩F)
𮙑	(合羽谷,NvQuLa,,扩F)
𮙒	(豆今丶,XnGdMs,,扩F)
𮙓	(豆古儿,XnObDi,,扩F)
𮙔	(豆夂丰,XnSpBp,,扩F)
𮙕	(曲豆彡,NeXnCd,,扩F)
𮙖	(戊上小豆,QbUxIgXn,,扩F)
𮙗	(多曲豆,DsNeXn,,扩F)
𮙘	(主凵主凵豆,AuMdAuXn,,扩F)
𮙙	(豆支早,GlXnOiQf,,扩F)
𮙚	(豕凵,ByMd,,扩F)
𮙛	(一豕,FkIgBy,,扩F)
𮙜	(申豕,KnBy,,扩F)
𮙝	(,NcWrBy,,扩F)
𮙞	(丷,HdWrBy,,扩F)
𮙟	(丅豕,ZrZkBy,,扩F)
𮙠	(罒,NcDdBy,,扩F)
𮙡	(冖車豕,OdBmBy,,扩F)
𮙢	(冫豕丶,WjXtByMs,,扩F)
𮙣	(豕目,ByZkFm,,扩F)
𮙤	(豕不見,ByKeIu,,扩F)
𮙥	(豸,ByWj,,扩F)
𮙦	(豸戈,ByGw,,扩F)
𮙧	(豸冖几,ByOdKx,,扩F)
𮙨	(豸亻寸,ByIuOf,,扩F)
𮙩	(豸宀几,ByDxKx,,扩F)
𮙪	(豸白匕,ByDhYs,,扩F)
𮙫	(豸冖巾,ByJkOdSu,,扩F)
𮙬	(豸童,ByVs,,扩F)
𮙭	(貝,NcMl,,扩F)
𮙮	(貝寸,MlOf,,扩F)
𮙯	(貝丿人,MlLbSk,,扩F)
𮙰	(貝川,MlPv,,扩F)
𮙱	(貝彐,MlQj,,扩F)
𮙲	(一貝,IgFkMl,,扩F)
𮙳	(貝夫,MlXm,,扩F)
𮙴	(貝丅一⺃,MlZrFkHu,,扩F)
𮙵	(貝旡,MlRh,,扩F)
𮙶	(丿廾貝,LbQlMl,,扩F)
𮙷	(少貝,VmMl,,扩F)
𮙸	(貝,ZkMl,,扩F)
𮙹	(土八貝,CkAyMl,,扩F)
𮙺	(大丷貝,NfHdMl,,扩F)
𮙻	(貝旦,MlUw,,扩F)
𮙼	(貝亻寸,MlIuOf,,扩F)
𮙽	(貝夂力,MlSpSo,,扩F)
𮙾	(貝小,MlGoIg,,扩F)
𮙿	(今丶貝,GdMsMl,,扩F)
𮚀	(貝民,MlIc,,扩F)
𮚁	(文貝,HfRjMl,,扩F)
𮚂	(十戈貝,EoGwMl,,扩F)
𮚃	(人爫貝,SkChMl,,扩F)
𮚄	(貝糸,MlCp,,扩F)
𮚅	(来貝,HeMl,,扩F)
𮚆	(貝戈廾,MlGwQl,,扩F)
𮚇	(貝丿糸,MlLbCp,,扩F)
𮚈	(貝亻乍,MlIuUo,,扩F)
𮚉	(貝宀元,MlDxRl,,扩F)
𮚊	(广貝,FiThRjMl,,扩F)
𮚋	(旡旡貝,RhRhMl,,扩F)
𮚌	(天天貝,AkAkMl,,扩F)
𮚍	(古口貝,ObPrMl,,扩F)
𮚎	(貝大示,MlNfTh,,扩F)
𮚏	(龷灬貝,XjXlMl,,扩F)
𮚐	(貝,MlQlHz,,扩F)
𮚑	(龸尸貝,SaZkMl,,扩F)
𮚒	(貝人米,MlSkZc,,扩F)
𮚓	(貝彑氺,MlZjBk,,扩F)
𮚔	(乛双貝,BmCkZgMl,,扩F)
𮚕	(臣丿貝,DnNcLbMl,,扩F)
𮚖	(貝田日,MlTyWr,,扩F)
𮚗	(貝目心,MlFmVi,,扩F)
𮚘	(冂口貝,JkOdPrMl,,扩F)
𮚙	(毌貝古,KlMlOb,,扩F)
𮚚	(臣攵貝,DnVjMl,,扩F)
𮚛	(貝艹丬士,MlQlHwNx,,扩F)
𮚜	(罒貝主,DdMlAu,,扩F)
