⺀	(⺀,Cd,,部首補充)
㇄	(⺃,Hu,,汉字笔画)
㇅	(乛,Bm,,汉字笔画)
㇆	(乛,Bm,,汉字笔画)
㇇	(乛,Bm,,汉字笔画)
㇈	(乛,Bm,,汉字笔画)
㇉	(⺃,Hu,,汉字笔画)
㇊	(乛,Bm,,汉字笔画)
㇋	(乛,Bm,,汉字笔画)
㇌	(乛,Bm,,汉字笔画)
㇍	(乛,Bm,,汉字笔画)
㇎	(乛,Bm,,汉字笔画)
㇏	(丶,Ms,,汉字笔画)
㇐	(一,Fk,,汉字笔画)
㇑	(丨,Gp,,汉字笔画)
㇒	(丿,Lb,,汉字笔画)
㇓	(丿,Lb,,汉字笔画)
㇔	(丶,Ms,,汉字笔画)
㇕	(乛,Bm,,汉字笔画)
㇖	(乛,Bm,,汉字笔画)
㇗	(⺃,Hu,,汉字笔画)
㇘	(乛,Bm,,汉字笔画)
㇙	(⺃,Hu,,汉字笔画)
㇚	(丨,Gp,,汉字笔画)
㇛	(⺃,Hu,,汉字笔画)
㇜	(⺃,Hu,,汉字笔画)
㇝	(丶,Ms,,汉字笔画)
㇞	(⺃,Hu,,汉字笔画)
㇟	(⺃,Hu,,汉字笔画)
㇠	(乛,Bm,,汉字笔画)
㇡	(乛,Bm,,汉字笔画)
㇢	(乛,Bm,,汉字笔画)
㇣	(〇,Pr,,汉字笔画)
㇤	(乛,Bm,,汉字笔画)
㇥	(⺃,Hu,,汉字笔画)
㋿	(亼禾口,AfJfTuPr,,)
㍻	(平{成三}{戈无一},IhAiGw,,兼容字符)
㍼	(日刀口禾口,WrJzPrPr,,兼容字符)
㍽	(大正,NfNt,,兼容字符)
㍾	(日月氵厶口,WrJsMePr,,兼容字符)
㍿	(木丿未弋工云礻土,YqLbEtCk,,兼容字符)
㐀	(⻀一,QlFk,qiū,扩A)
㐁	(人,AkSk,tiàn,扩A)
㐂	(七七七,SjSjSj,xǐ,扩A)
㐃	(丨,PrGp,ma,扩A)
㐄	(㐄,Gh,kuà,扩A)
㐅	(㐅,Qi,wǔ,扩A)
㐆	(㐆,Fa,yī_yǐn,扩A)
㐇	(九乛,TqBm,jiǔ,扩A)
㐈	(入乛,LhBm,rù,扩A)
㐉	(丁乛,NaBm,dīng,扩A)
㐊	(士乛,NxBm,shì,扩A)
㐋	(土乛,CkBm,tǔ,扩A)
㐌	(也,NcXi,sì_yí,扩A)
㐍	(爫乛,ChBm,zhǎo,扩A)
㐎	(文乛,HfBm,wén,扩A)
㐏	(五乛,IsBm,wǔ,扩A)
㐐	(女又乛,OuZnBm,nú,扩A)
㐑	(夂乛,SpCdBm,dōng,扩A)
㐒	(刀口乛,JzPrBm,zhào,扩A)
㐓	(可乛,UrBm,kě,扩A)
㐔	(乛,CiBm,xiǎng,扩A)
㐕	(由乛,KvBm,,扩A)
㐖	(士口⺃,NxPrHu,yè,扩A)
㐗	(老乛,PfBm,lǎo,扩A)
㐘	(米乛,ZcBm,mǐ,扩A)
㐙	(豆乛,XnBm,dòu,扩A)
㐚	(五口乛,IsPrBm,wú,扩A)
㐛	(亻口乛,IuEoPrBm,yòu,扩A)
㐜	(求九,VuTq,chóu,扩A)
㐝	(扌句乛,VlNwBm,jū,扩A)
㐞	(其乛,KtBm,qí,扩A)
㐟	(非乛,YxBm,fēi,扩A)
㐠	(爫子⺃乛,ChLgHuBm,,扩A)
㐡	(九而大,TqUiNf,nuò,扩A)
㐢	(氵爫子乛,MeChLgBm,fú,扩A)
㐣	(广車乛,FiBmBm,kù,扩A)
㐤	(九直八,TqYdAy,qiú,扩A)
㐥	(釒且力乛,LuAwSoBm,chú,扩A)
㐦	(丨八手乛,BqBiGpBm,jǔ,扩A)
㐧	(丶乛丨丿,MsBmGpLb,dì,扩A)
㐨	(予予,AnAn,xù,扩A)
㐩	(井井,CyCy,xíng,扩A)
㐪	(亠䶹丶,WwMrMs,hài,扩A)
㐫	(㐫,Mz,xiōng,扩A)
㐬	(㐬,Pw,liú,扩A)
㐭	(亠囗口,WwXtPr,lǐn,扩A)
㐮	(六,QtXjHi,xiāng,扩A)
㐯	(口禾日,CiPrTuWr,yōng,扩A)
㐰	(亻口,IuPr,xìn,扩A)
㐱	(彡,GoCd,zhěn,扩A)
㐲	(亻大,IuNf,dài_fú,扩A)
㐳	(亻兀,IuSe,wù,扩A)
㐴	(亻夕,IuQy,pān,扩A)
㐵	(亻一,IuFkEo,rú,扩A)
㐶	(亻巳,IuEw,,扩A)
㐷	(亻马,IuWm,mà_mǎ_mián,扩A)
㐸	(亻欠,IuKc,qiàn,扩A)
㐹	(亻气,IuDm,yì,扩A)
㐺	(亻亻人,IuIuSk,cóng_yín_zhòng,扩A)
㐻	(亻内,IuKq,nèi,扩A)
㐼	(亻丿廾,IuLbQl,chèng_zhěng,扩A)
㐽	(亻风,IuQm,fēng,扩A)
㐾	(亻元,IuRl,ruǎn_yuàn,扩A)
㐿	(亻手,IuCj,,扩A)
㑀	(亻太,IuAl,tài,扩A)
㑁	(亻出,IuJw,zhuō,扩A)
㑂	(亻一内,IuFkKq,fǎng_páng,扩A)
㑃	(亻幺力,IuCpSo,ǎo,扩A)
㑄	(亻母,IuSh,wǔ,扩A)
㑅	(亻一,IuNcPgFk,zuò,扩A)
㑆	(亻兄,IuSg,,扩A)
㑇	(亻刍,IuJv,zhòu,扩A)
㑈	(亻小,IuSjIg,dòng,扩A)
㑉	(亻歹,IuKxNr,sù,扩A)
㑊	(亻亦,IuVa,yì,扩A)
㑋	(亻曲,IuNe,jiòng_kǒng_qióng,扩A)
㑌	(亻匚王,IuXmKs,kuāng_wāng,扩A)
㑍	(亻耒,IuOa,lèi_lěi,扩A)
㑎	(亻巛山,IuPvBn,nǎo,扩A)
㑏	(亻宀寸,IuDxOf,zhù,扩A)
㑐	(亻上小,IuUxIg,shū,扩A)
㑑	(亻自,IuCv,jì_lǎn,扩A)
㑒	(㑒,Og,,扩A)
㑓	(亻厶友,IuFiAm,,扩A)
㑔	(亻页,IuMg,xǔ,扩A)
㑕	(亻山夕,IuBnQy,,扩A)
㑖	(亻亻中,IuIuOg,,扩A)
㑗	(亻身,IuFa,shēn,扩A)
㑘	(亻戈廾,IuGwQl,jiè,扩A)
㑙	(亻耳⺃,IuUaHu,dié_yǒng,扩A)
㑚	(亻阝,IuRoEr,nuó,扩A)
㑛	(亻束,IuGu,sù,扩A)
㑜	(亻扌斤,IuVlTn,chì_yì,扩A)
㑝	(亻王廾,IuKsQl,lòng,扩A)
㑞	(亻火廾,IuXlQl,yìng,扩A)
㑟	(亻兵,IuCo,běng_bó_pěng,扩A)
㑠	(亻土,IuUxCk,,扩A)
㑡	(亻卩,IuIxJf,,扩A)
㑢	(亻去卩,IuGkJf,,扩A)
㑣	(亻林,IuGl,lán,扩A)
㑤	(亻艹田,IuQlTy,miáo,扩A)
㑥	(亻日丿,IuWrJzLb,yì,扩A)
㑦	(亻户犬,IuUdRo,lì,扩A)
㑧	(亻禾子,IuTuLg,jì,扩A)
㑨	(亻口矢,IuPrLv,yǔ,扩A)
㑩	(亻罒夕,IuDdQy,luó,扩A)
㑪	(亻斉,IuEy,chái,扩A)
㑫	(亻今心,IuGdVi,,扩A)
㑬	(亻女古,IuOuOb,,扩A)
㑭	(亻田丌,IuTySe,,扩A)
㑮	(亻冖車,IuOdBm,hún_wén,扩A)
㑯	(亻頁,IuLd,xǔ,扩A)
㑰	(亻彑,IuZjBy,huì,扩A)
㑱	(亻矛木,IuHcYq,rǎo,扩A)
㑲	(亻十,IuEoOdAs,,扩A)
㑳	(亻勹䶹勹䶹,IuKlMrMr,zhòu,扩A)
㑴	(亻彐冖巾又,IuQjOdZn,,扩A)
㑵	(亻疒矢,IuWhLv,hàn_jí_jié_zhǎ_zí,扩A)
㑶	(亻气米,IuDmZc,xì,扩A)
㑷	(亻厶匕匕,IuFiHzYs,tài,扩A)
㑸	(亻古可,IuObUr,ǎi_yáo_yóu,扩A)
㑹	(亼由日,AfKvWr,huì,扩A)
㑺	(亻隹乃,IuWfSn,jùn,扩A)
㑻	(亻宀心丿山,IuDxViBn,mà,扩A)
㑼	(亻田各,IuTyXc,lüè,扩A)
㑽	(亻土,IuSaCk,táng,扩A)
㑾	(亻言,IuMeOk,xiáo_yáo,扩A)
㑿	(亻巛果,IuPvMv,zhào,扩A)
㒀	(亻冂古,IuJkOdOb,zhǎ,扩A)
㒁	(亻囗土,IuXtCkAs,yǔ_yùn,扩A)
㒂	(亻艹者,IuQlVn,kù_zhuó,扩A)
㒃	(亻弋二貝,IuWlHtMl,èr,扩A)
㒄	(亻犬灬,IuMeRoXl,nàng_nèn_rǎn,扩A)
㒅	(亻多,IuHiDs,qǐ,扩A)
㒆	(亻合羽,IuNvQu,chì_kè_xì_xiào_yàn,扩A)
㒇	(亻灬,IuBkXl,mù_wǔ,扩A)
㒈	(亻乛耳攵,IuBmUaVj,hàn,扩A)
㒉	(亻木,IuSaYq,tǎng,扩A)
㒊	(亻刀丶刀丶止止,IuJzMsHl,sè,扩A)
㒋	(亻其斤,IuKtTn,sī,扩A)
㒌	(亻火火冖几,IuXlXlKx,qióng,扩A)
㒍	(亻厶厶厶糸,IuFiFiCp,léi_lěi,扩A)
㒎	(亻天非,IuAkYx,sà_sǎ_tàn,扩A)
㒏	(亻,IuElCd,,扩A)
㒐	(亻勹日,IuKhKlWr,xùn,扩A)
㒑	(亻匚氵隹,IuXmMeWf,huì_kuǐ,扩A)
㒒	(亻业䒑未,IuEjRcEt,pú,扩A)
㒓	(亻土羊辶,IuCkAsDf,tà,扩A)
㒔	(亻罒勹虫,IuDdKlHk,shǔ,扩A)
㒕	(亻亠乡隹,IuWwPcWf,yāng,扩A)
㒖	(亻艹日,IuQlWrTk,ǒu,扩A)
㒗	(亻冖至,IuYpOdRn,tái,扩A)
㒘	(亻臣又立,IuDnZnJk,,扩A)
㒙	(亻糹白巾,IuCpDhSu,mián,扩A)
㒚	(亻爫工彐心,IuChIvVi,wěn,扩A)
㒛	(亻羽隹,IuQuWf,diào,扩A)
㒜	(亻丨八,IuBqBiAy,yú_yǔ,扩A)
㒝	(亻艹罒戊丶,IuQlDdMs,miè_wà,扩A)
㒞	(亻山隹,IuBnWfOd,jùn_kě,扩A)
㒟	(亻馬,IuHiXt,niǎo,扩A)
㒠	(亻歺又非一,IuNrZnFk,xiè,扩A)
㒡	(亻爫缶丿糸,IuChUqCp,yóu,扩A)
㒢	(亻亼,IuAfYoTe,,扩A)
㒣	(亻广亻隹心,IuFiIuVi,,扩A)
㒤	(亻耳耳耳,IuUaUaUa,chè_shè,扩A)
㒥	(亻山丰丰豆,IuBnBpXn,fēng,扩A)
㒦	(亻田田田土,IuTyTyCk,lěi,扩A)
㒧	(亻㐫禸隹,IuMzTkWf,lì,扩A)
㒨	(亻囟大巳,IuBqZhEw,,扩A)
㒩	(亻彑虫虫,IuZjByHk,luǒ,扩A)
㒪	(臣臣止豕,GoDnDnBy,,扩A)
㒫	(儿,XzDi,jì,扩A)
㒬	(元王,RlKs,,扩A)
㒭	(兄兄,SgSg,kūn,扩A)
㒮	(元豕,RlBy,,扩A)
㒯	(光艹十,YfQlBkEo,,扩A)
㒰	(入工,LhIv,quán,扩A)
㒱	(入夕,LhQy,mèng,扩A)
㒲	(入日,LhWr,cái,扩A)
㒳	(,SuLc,liǎng,扩A)
㒴	(入出,LhJw,gǔ,扩A)
㒵	(白八,DhAy,mào,扩A)
㒶	(八白,AyDh,,扩A)
㒷	(人,OdSkRc,guǎ_xìng_xǔ,扩A)
㒸	(丷豕,HdBy,suì,扩A)
㒹	(直八直八,YdAyYdAy,diān,扩A)
㒺	(冂䒑亾,OdRcAn,,扩A)
㒻	(見,QlIu,mào,扩A)
㒼	(廿巾,XjSuLc,mán_mǎn,扩A)
㒽	(龹㔾,QlKbJf,quān,扩A)
㒾	(也,QlEzXi,shì,扩A)
㒿	(㐫禸隹,QlMzTkWf,lí,扩A)
㓀	(冖卜,OdPg,fù,扩A)
㓁	(㓁,Ie,wǎng,扩A)
㓂	(冖元女,OdRlOu,kòu,扩A)
㓃	(冖言丿七,OdOkLbSj,chuí_dù_zhà,扩A)
㓄	(厶厶厶彡冖儿,FiFiFiDi,zhèn,扩A)
㓅	(冫丁,WjNa,tīng,扩A)
㓆	(冫仑,WjRm,,扩A)
㓇	(冫夭,WjFo,,扩A)
㓈	(冫石,WjRa,bèi_bìng_fèi_yè,扩A)
㓉	(冫舌,WjJi,huàn_huó_huò,扩A)
㓊	(冫冂,WjOdAk,dòng,扩A)
㓋	(冫共,WjLi,gòng,扩A)
㓌	(冫王,WjGoKs,chēng,扩A)
㓍	(冫儿,WjYvDi,,扩A)
㓎	(冫彐冖又,WjQjOdZn,qìn_qǐn_qīn,扩A)
㓏	(冫󰈯口,WjIePr,jiǒng,扩A)
㓐	(冫土八土,WjCkAyCk,lù,扩A)
㓑	(冫土,WjCkAs,xìng,扩A)
㓒	(冫七,WjSjGoGi,,扩A)
㓓	(冫十,WjEoOdAs,nán,扩A)
㓔	(冫身寸,WjFaOf,xiè,扩A)
㓕	(冫戊一火,WjQbFkXl,,扩A)
㓖	(冫日龷十,WjWrXjEo,bì,扩A)
㓗	(冫丰刀糸,WjBpJzCp,jié_qǐ,扩A)
㓘	(歹玉,KxNrJg,sù,扩A)
㓙	(文凵,HfMd,,扩A)
㓚	(工刂,IvRj,gōng,扩A)
㓛	(工刀,IvJz,,扩A)
㓜	(幺刀,CpJz,yòu,扩A)
㓝	(井刂,CyRj,xíng,扩A)
㓞	(丰刀,BpJz,qì_qià_yáo,扩A)
㓟	(皮刂,ZsRj,pí,扩A)
㓠	(占刂,JxRj,diàn,扩A)
㓡	(缶刂,UqRj,fǒu_fǔ,扩A)
㓢	(各刂,XcRj,luò,扩A)
㓣	(合刂,NvRj,qià,扩A)
㓤	(士口刂,NxPrRj,jié_qià,扩A)
㓥	(彐刂,IgQjRj,tāng,扩A)
㓦	(百刂,PiRj,bāi,扩A)
㓧	(今口刂,GdPrRj,yǎn,扩A)
㓨	(大从刂,NfLcRj,cí_cì,扩A)
㓩	(角刂,TjRj,jiē_xuān,扩A)
㓪	(丶刀,MsIxJz,lǎng,扩A)
㓫	(大开刂,NfCmRj,,扩A)
㓬	(龹刀刂,KbJzRj,,扩A)
㓭	(曷刂,BlRj,hé,扩A)
㓮	(土口刂,OdCkPrRj,diāo,扩A)
㓯	(巛田刂,PvTyRj,lí,扩A)
㓰	(一由凵刂,FkKvMdRj,huà,扩A)
㓱	(亼刂刂,AfHzRjRj,tóu,扩A)
